advice,cons,countHelpful,countNotHelpful,date,Date,employmentStatus,id,isAnonymousEmployee,isCurrentEmployee,isLegal,jobEndingYear,jobTitle,lengthOfEmployment,location,pros,ratings/0/rating,ratings/0/title,ratings/1/rating,ratings/1/title,ratings/2/rating,ratings/2/title,ratings/3/rating,ratings/3/title,ratings/4/rating,ratings/4/title,ratings/5/rating,ratings/5/title,ratings/6/rating,ratings/6/title,reviews/0/isOK,reviews/0/title,reviews/1/isOK,reviews/1/title,reviews/2/isOK,reviews/2/title,title,type,url
Sales bonus tied to performance. Leadership without strategic focus,"Poor VP level leadership. Bonus tied to company performance, not individual revenue and sales accomplishments.",1,0,2023-10-25T16:45:46.403,2023-10-25,REGULAR,81271406,FALSE,FALSE,TRUE,2019,Sales Director,4,"Westminster, CO","Great team - innovation, engineering, finance, operations, business planning and sales all worked very well together and with strategic customers to manage consistent strategic failures. Ball produces a globally required and environmentally responsible product focused on reducing weight and increasing recyclability for global customers. Ball offers on the lower range on salary, but had stock options, deferred pay and bonus based on company performance.",4,Work/Life Balance,3,Overall,4,Culture & Values,4,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,"Good Company, Poor Strategic Plan",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW81271406.htm
Do a better job at connecting with people instead of having meetings all day. ,There are to many to list here.,0,0,2023-12-24T02:09:29.587,2023-12-24,REGULAR,82823623,FALSE,FALSE,TRUE,2023,Quality Control Technician,9,"Saint Paul, MN",Not many to talk about.,1,Work/Life Balance,2,Overall,1,Culture & Values,2,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,2,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Meh,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82823623.htm
Leadership needs major improvement. Hire people with qualifications not your friends or because they like what you have to say. Your friends are not going to improve efficiency.  ,"If you think hard work is important, it’s not. If they like you, you’ll go places. If you’re a female rethink working here. You’ll never go anywhere as a female on the floor. They say they want diversity but act otherwise.",0,0,2023-12-04T10:45:14.997,2023-12-04,REGULAR,82309337,FALSE,FALSE,TRUE,2023,Maintenance,4,"Waddell, AZ",Pay and hours are good,1,Work/Life Balance,1,Overall,1,Culture & Values,1,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Don’t work if you’re female ,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82309337.htm
,"difficult to make changes; a lot of ""heads"" of departments are rejecting change and are difficult to work with.",0,0,2023-10-19T08:43:56.790,2023-10-19,REGULAR,81090138,TRUE,TRUE,TRUE,,,4,"Boston, MA",Donations matching Fair pay volunteer paid time bonus,5,Work/Life Balance,5,Overall,4,Culture & Values,4,Diversity & Inclusion,2,Senior Management,3,Career Opportunities,5,Compensation and Benefits,FALSE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW81090138.htm
,Some old practices and storage techniques,0,0,2023-10-30T18:29:15.230,2023-10-30,REGULAR,81404165,FALSE,FALSE,TRUE,2023,Mechanical Engineer Intern,0,"Fort Collins, CO",Great opportunity while in school Flexible hours Fun people,0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Great Opportunity,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW81404165.htm
,"If you want things done quickly, this is gonna be tiresome for you.",0,0,2023-10-20T09:20:13.643,2023-10-20,REGULAR,81124554,FALSE,FALSE,TRUE,2022,Business Analyst,1,"Westminster, CO",Good pay Really cool campus,4,Work/Life Balance,4,Overall,5,Culture & Values,5,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,FALSE,Business Outlook,Slow going,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW81124554.htm
,"Management, management, management. Rexam got bought out by Ball and they decided to close down all Union plants they purchased. That’s an American company for ya .",0,0,2023-12-20T13:51:49.193,2023-12-20,REGULAR,82757094,FALSE,FALSE,TRUE,2019,Maintenance Technician,20,"Chatsworth, CA","The pay , co workers , schedule",1,Work/Life Balance,1,Overall,1,Culture & Values,3,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,"Great people , terrible management ",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82757094.htm
,12 hour shifts are brutal,0,0,2023-09-18T21:23:04.053,2023-09-18,REGULAR,80191533,FALSE,FALSE,TRUE,2019,Maintainer,9,"Springdale, AR",The pay is among the highest in the area,3,Work/Life Balance,4,Overall,3,Culture & Values,2,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Long hours uncomfortable environment,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW80191533.htm
Nothing to share at this time.,#NAME?,0,0,2023-08-06T16:35:54.153,2023-08-06,REGULAR,78905324,FALSE,TRUE,TRUE,,IT Architecture,4,"Westminster, CO",#NAME?,4,Work/Life Balance,5,Overall,4,Culture & Values,3,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great Benefits - A Company That Cares,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78905324.htm
,"Hot ,very fast passed! Sometimes quadruple tasking gets pretty hectic fast. Month of nights then month of days all year, schedule can be rough on home life.",0,0,2023-07-29T01:24:33.717,2023-07-29,REGULAR,78675576,FALSE,TRUE,TRUE,,Production Tech,0,"Goodyear, AZ","Pays well,plenty of O.T. yearly bonus match up to 3% of stock and 401k vision, dental, health opportunity to grow.",1,Work/Life Balance,4,Overall,2,Culture & Values,3,Diversity & Inclusion,3,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Not bad,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78675576.htm
,Struggle with work life balance,1,0,2023-01-30T18:57:19.970,2023-01-30,REGULAR,73150154,FALSE,TRUE,TRUE,,Senior Accountant,0,"Denver, CO","Good culture and pay, new building",4,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Ball Corporation,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW73150154.htm
,Too many hours per week.,0,0,2023-05-11T12:23:45.197,2023-05-11,REGULAR,76343617,FALSE,FALSE,TRUE,2021,Maintainer,9,"Springdale, AR",The pay and benefits were great.,2,Work/Life Balance,3,Overall,4,Culture & Values,4,Diversity & Inclusion,3,Senior Management,2,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Just a number,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW76343617.htm
Nope,"Insurance is absolute trash, like terrible….mind blowing really considering the nature/size of the company.",0,0,2023-01-07T08:03:45.870,2023-01-07,REGULAR,72404554,FALSE,TRUE,TRUE,,Machinist,2,"Bowling Green, KY","Great pay, time off, great team, great boss",4,Work/Life Balance,5,Overall,4,Culture & Values,4,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Love my job,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW72404554.htm
,The cons are may be people,0,0,2023-01-23T14:47:12.253,2023-01-23,REGULAR,72910764,FALSE,TRUE,TRUE,,Service Technician,0,"Chicago, IL",The pros is the pay,4,Work/Life Balance,4,Overall,4,Culture & Values,3,Diversity & Inclusion,3,Senior Management,4,Career Opportunities,5,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Ball Corp,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW72910764.htm
,Stagnation in the aluminum market due to economy Leadership unclear at times,0,0,2023-01-09T09:47:56.410,2023-01-09,REGULAR,72450571,FALSE,TRUE,TRUE,,Master Supply Planner,2,"Westminster, CO",Company with longevity. Fast paced work environment.,4,Work/Life Balance,4,Overall,5,Culture & Values,5,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,3,Compensation and Benefits,TRUE,Recommend,,CEO Approval,,Business Outlook,Good company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW72450571.htm
,Unclear expectations of roles and responsibilities,0,0,2023-04-19T13:14:58.183,2023-04-19,REGULAR,75653681,FALSE,TRUE,TRUE,,Account Manager,6,"Broomfield, CO",Market leader and stable company,3,Work/Life Balance,3,Overall,3,Culture & Values,4,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,3,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Solid,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW75653681.htm
"The wrong people are in the positions that need better people. The warehouse is new but the business is not, so it's curious when you hear the term 'start-up' being used, but then realize it's used as a broad-stroke paintbrush to excuse poor decisions and to blame employees for things out of their control.","Unorganized, high turnover, unqualified leads, pay disparity. There is a point system in place for things like early punches, late punches, bad punches etc... All of which take a year to go away and no way to get rid of them sooner. An otherwise great employee can be held back for something as small as an early/late punch.",0,0,2022-11-01T01:09:09.347,2022-11-01,REGULAR,70667563,FALSE,TRUE,TRUE,,Warehouser,1,"Pittston, PA",Overtime is always available. 3x12 shift alternating day/night shift every 6 weeks.,2,Work/Life Balance,1,Overall,2,Culture & Values,3,Diversity & Inclusion,2,Senior Management,2,Career Opportunities,2,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,"Not so great, a lot of work ahead.",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW70667563.htm
,None that I can think of.,0,0,2022-10-31T11:50:32.657,2022-10-31,REGULAR,70652285,FALSE,TRUE,TRUE,,Graphics Coordinator,2,"Saratoga Springs, NY","EVERYTHING about this company is fantastic, so blessed to be a part of the team!",5,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Great Place to Work,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW70652285.htm
,"Four 12 hour days in a row, weekend work sometimes.",0,0,2022-10-26T16:23:04.193,2022-10-26,REGULAR,70528385,FALSE,TRUE,TRUE,,Production Technician,1,"Monticello, IN","Overtime after 8 hours, competitive pay, only work half the year.",4,Work/Life Balance,4,Overall,4,Culture & Values,4,Diversity & Inclusion,4,Senior Management,5,Career Opportunities,5,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Job overview,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW70528385.htm
do smothenig i guess lol,very long work hours i guess,0,0,2022-10-30T08:36:02.403,2022-10-30,PART_TIME,70622342,FALSE,FALSE,TRUE,2022,Senior Asociates,1,"New York, NY",good pay in this company,5,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,very gud,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW70622342.htm
"Start promoting from within and if people are 
perceived  as not ready develop training to assist them.","Long hours, hard to get promoted in any department if you do not know senior leaders or if you are a woman",1,0,2021-01-13T13:53:43.637,2021-01-13,REGULAR,40643830,FALSE,FALSE,TRUE,2018,Financial Analyst,4,"Westminster, CO","Fair pay, Fair Benefits, ok leadership",1,Work/Life Balance,3,Overall,3,Culture & Values,2,Diversity & Inclusion,2,Senior Management,2,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,,CEO Approval,TRUE,Business Outlook,It is ok as a starting point,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW40643830.htm
,Management is all bad and they are all tied together and to get any where you need to be a lil snitch. you have to work 4 weeks of night shift every other 4 weeks.,0,0,2021-01-04T15:58:21.307,2021-01-04,REGULAR,40088023,FALSE,FALSE,TRUE,2020,Material Handler,2,"Goodyear, AZ",Pay is good. You can work 6 days a week all 12 hour shifts,1,Work/Life Balance,3,Overall,1,Culture & Values,1,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,,CEO Approval,,Business Outlook,Wouldnt Work There Again,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW40088023.htm
,"Vacation sucks, you have to work six months to get one day off, you have to work an entire year for one week. Its terrible hot in the summer. Some employees need to grow up and mind their own business.",0,0,2019-07-06T19:32:30.073,2019-07-06,REGULAR,27836214,FALSE,FALSE,TRUE,2019,Prodction Associate,2,"North Canton, OH","Small company,  the pay is great.",1,Work/Life Balance,3,Overall,2,Culture & Values,0,Diversity & Inclusion,2,Senior Management,1,Career Opportunities,2,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,FALSE,Business Outlook,A great place to work,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW27836214.htm
"Treat people like humans, praise them when they do well instead of always using them as scapegoats because you have no management skills.","Because of pay rates, management feels like they can treat you like crap.  People are promoted based as who's butt they kiss and grass they cut.  Say they want to be team oriented, but they have no idea what that means.",1,0,2012-08-19T07:41:19.953,2012-08-19,REGULAR,1862419,FALSE,TRUE,TRUE,,Electronics Tech,6,"Williamsburg, VA",hourly rates are higher than most jobs in area,2,Work/Life Balance,1,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,,CEO Approval,,Business Outlook,"Locked in the ""Good 'ol Boy"" era",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW1862419.htm
,"The leadership provides little direction. They’ve been trying to find their way for years with little results. In spite of the chaos, the industry is forgiving and they ultimately perform, but a competitor with more discipline could crush them.",2,0,2019-06-17T14:53:51.367,2019-06-17,REGULAR,27450283,FALSE,TRUE,TRUE,,Senior Business Analyst,9,"Broomfield, CO",Compensation is fair or better.,1,Work/Life Balance,2,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,,CEO Approval,TRUE,Business Outlook,Organizationally Dysfunctional,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW27450283.htm
,80% of Balls workforce is going to retire in the next 10 years. If you are under the age of 35 this place is not for you. Incredible old and outdated practices. The recruiter will tell you everyone always has a smile on their face. This is completely false. There are way better places to work in Colorado.,6,0,2015-10-29T13:58:02.523,2015-10-29,REGULAR,8477756,TRUE,FALSE,TRUE,2015,,4,"Broomfield, CO",Pay is good. Usually higher than national average. Some good people work here (very few),2,Work/Life Balance,1,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,,CEO Approval,FALSE,Business Outlook,Run....,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW8477756.htm
Get back to your roots,Certain VP’s pride themselves for under paying employees to keep costs low.,4,0,2018-04-28T21:23:43.637,2018-04-28,REGULAR,20352127,TRUE,TRUE,TRUE,,,20,"Broomfield, CO",Most people are good to work with.,2,Work/Life Balance,3,Overall,2,Culture & Values,0,Diversity & Inclusion,2,Senior Management,3,Career Opportunities,3,Compensation and Benefits,,Recommend,,CEO Approval,TRUE,Business Outlook,Depends what department you work in and who your manager is.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW20352127.htm
"Get off your high horse, and stop being so arrogant! You are not the only company hiring! Keep up this nonsense and you won’t be around very long, corporate will shut you down!","Need to be a man to advance! Horrible management and HR. Have to be an butt kisser to move up, and they promote the lazy! Management doesn’t like to hear your problems, and won’t take care of the bad seeds!",0,0,2020-01-09T21:29:54.137,2020-01-09,REGULAR,31217624,TRUE,TRUE,TRUE,,,9,"Fort Atkinson, WI","Pay, ESSP, nothing else here",1,Work/Life Balance,1,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,2,Compensation and Benefits,,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Anonymous,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW31217624.htm
"Get a new ERP system,  replace top Accounting employees with more experienced personnel. Arrange month-end around holidays.",Working on holidays. Substandard ERP system for size of company,0,0,2020-10-05T08:02:42.327,2020-10-05,REGULAR,36723577,FALSE,FALSE,TRUE,2019,Finance Manager,4,"Kent, WA",Average company with good bonuses and benefits,2,Work/Life Balance,3,Overall,3,Culture & Values,3,Diversity & Inclusion,2,Senior Management,2,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,,Business Outlook,"Stable company, needs more experience in top positions",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW36723577.htm
Allow women to be both General Supervisors and Production Supervisors. Give them equal training and equal opportunities as you do the men.,"Diversity is a lie because there is no equality. No production leadership, no training and no higher paying jobs for women. They want the few women in can plant production to keep their mouths shut.",6,0,2017-04-17T07:06:32.763,2017-04-17,,14656807,FALSE,TRUE,TRUE,,Operator,20,"Arvada, CO","Decent Benefits,  with decent pay.",1,Work/Life Balance,1,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Ball-A paradise for men.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW14656807.htm
,Sometimes everyone seems stuck in the past way of working.,0,0,2024-01-22T08:47:58.563,2024-01-22,REGULAR,83602255,FALSE,FALSE,TRUE,2020,Business Analyst,4,"Broomfield, CO",Wonderful compensation structure and bonuses shared with employees when the company does well.,3,Work/Life Balance,4,Overall,2,Culture & Values,2,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,,CEO Approval,,Business Outlook,Great compensation if it's a great year,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW83602255.htm
Corporate management needs to let local management do their jobs,Insurance isn't the greatest and expensive,0,0,2024-01-22T08:34:38.117,2024-01-22,REGULAR,83601743,FALSE,FALSE,TRUE,2023,Maintenance,2,"Verona, VA",Local management was the best I've ever worked for,5,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,4,Career Opportunities,5,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Great job,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW83601743.htm
stop following political trends and take care of employees,health benefits are trendy and don't support important health issues,0,0,2024-01-09T05:21:10.937,2024-01-09,REGULAR,83182370,FALSE,FALSE,TRUE,2020,HR Specialist,4,"Charlotte, NC","Lots of work to do, so you can gain a lot of experience",3,Work/Life Balance,3,Overall,3,Culture & Values,5,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,3,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Growing company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW83182370.htm
,A fast paced work environment in a manufacturing facility filled with equipment that generates a lot of heat. Temperatures regularly exceed 100°+. Air quality can be difficult to adjust to.,0,0,2023-11-26T10:15:16.383,2023-11-26,REGULAR,82097419,FALSE,TRUE,TRUE,,Chemical Process Maintainer,2,"Glendale, AZ","Great benefits. Static work schedule. Pay is above average for the field. Fast paced, structured environment with specific duties during a 12 hour shift. Driven individuals who embrace the company’s goals open themselves up for opportunities to advance.",3,Work/Life Balance,4,Overall,4,Culture & Values,5,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Company with opportunities if you’re willing to stand above the rest.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82097419.htm
,lack of modern process and tools for most functional groups-- new programs or directives come and go before being fully implemented,0,0,2024-01-05T14:22:26.413,2024-01-05,REGULAR,83089885,FALSE,TRUE,TRUE,,Commerical Manager,9,"Westminster, CO","sustainability and environmental stewardship
hybrid working",3,Work/Life Balance,4,Overall,4,Culture & Values,3,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,2,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Ever changing,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW83089885.htm
,"Long Hours
Micromanagement
Bad leadership in Rome, Ga. location
Do as I say, not as I do attitude.
Hourly workers are expected to work a lot of overtime",0,0,2023-12-28T07:23:28.370,2023-12-28,REGULAR,82892226,FALSE,FALSE,TRUE,2023,Electrical Superintendent,4,"Rome, GA","Good Pay, and sometimes a bonus, but don't count on it.",1,Work/Life Balance,2,Overall,1,Culture & Values,3,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,,CEO Approval,FALSE,Business Outlook,Sorry I went to work for them.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82892226.htm
Sales bonus tied to performance. Leadership without strategic focus,"Poor VP level leadership. Bonus tied to company performance, not individual revenue and sales accomplishments.",1,0,2023-10-25T16:45:46.403,2023-10-25,REGULAR,81271406,FALSE,FALSE,TRUE,2019,Sales Director,4,"Westminster, CO","Great team - innovation, engineering, finance, operations, business planning and sales all worked very well together and with strategic customers to manage consistent strategic failures. Ball produces a globally required and environmentally responsible product focused on reducing weight and increasing recyclability for global customers. Ball offers on the lower range on salary, but had stock options, deferred pay and bonus based on company performance.",4,Work/Life Balance,3,Overall,4,Culture & Values,4,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,"Good Company, Poor Strategic Plan",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW81271406.htm
Do a better job at connecting with people instead of having meetings all day. ,There are to many to list here.,0,0,2023-12-24T02:09:29.587,2023-12-24,REGULAR,82823623,FALSE,FALSE,TRUE,2023,Quality Control Technician,9,"Saint Paul, MN",Not many to talk about.,1,Work/Life Balance,2,Overall,1,Culture & Values,2,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,2,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Meh,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82823623.htm
Leadership needs major improvement. Hire people with qualifications not your friends or because they like what you have to say. Your friends are not going to improve efficiency.  ,"If you think hard work is important, it’s not. If they like you, you’ll go places. If you’re a female rethink working here. You’ll never go anywhere as a female on the floor. They say they want diversity but act otherwise.",0,0,2023-12-04T10:45:14.997,2023-12-04,REGULAR,82309337,FALSE,FALSE,TRUE,2023,Maintenance,4,"Waddell, AZ",Pay and hours are good,1,Work/Life Balance,1,Overall,1,Culture & Values,1,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Don’t work if you’re female ,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82309337.htm
,"Management, management, management. Rexam got bought out by Ball and they decided to close down all Union plants they purchased. That’s an American company for ya .",0,0,2023-12-20T13:51:49.193,2023-12-20,REGULAR,82757094,FALSE,FALSE,TRUE,2019,Maintenance Technician,20,"Chatsworth, CA","The pay , co workers , schedule",1,Work/Life Balance,1,Overall,1,Culture & Values,3,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,"Great people , terrible management ",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW82757094.htm
"Build an environment of open communication and trust.   Too much favoritism and lying going on, no trust","Unrealistic work loads, too much favoritism, crazy place to work but if you can deal with high stress and extreme pressure you should be ok.",4,0,2016-04-04T08:35:52.533,2016-04-04,REGULAR,10145660,TRUE,FALSE,TRUE,2014,,0,"Columbus, OH",Great pay and benefits.   Depending on who you are there are opportunities for growth,2,Work/Life Balance,2,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,4,Career Opportunities,4,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Good Pay - Horrible atmosphere,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW10145660.htm
,Workplace balance can be a struggle at times.,3,0,2019-04-01T09:39:15.400,2019-04-01,REGULAR,25450333,FALSE,TRUE,TRUE,,Manager,20,"Broomfield, CO",Ball is a strong company with a strong financial grounding in how they do business. The values of integrity and trust are apparent throughout the functions. And the company is focused on positioning Ball (and aluminum packaging) as the most sustainable packaging solution.,3,Work/Life Balance,5,Overall,5,Culture & Values,0,Diversity & Inclusion,5,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great place to work!,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW25450333.htm
Look into some schedule adjustments if the facility is a 24 hour operation. Continue with the above average benefits and wages.,Many facilities were 24/7 with 12 hours shifts and 3/4 schedule which could be problematic for families. Some required overtime.,2,0,2015-05-06T10:33:03.377,2015-05-06,REGULAR,6527724,FALSE,FALSE,TRUE,2011,Chemical Process Maintainer,4,"Milwaukee, WI","Very competitive wages with increases and salaried bonuses, excellent benefits, room for advancement",4,Work/Life Balance,5,Overall,4,Culture & Values,0,Diversity & Inclusion,4,Senior Management,5,Career Opportunities,5,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Solid Company Good Benefits,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW6527724.htm
Keep doing a great job. I loved working with everyone. Management was extremely nice and treated everyone as equals,Can be a bit over whelming at times. Certain days are extremely busy. Some parts of the plant are tough to work in.,0,0,2016-10-26T18:30:33.117,2016-10-26,,12464823,FALSE,FALSE,TRUE,2016,Internship,0,"Saratoga Springs, NY",Ball pays interns great and the people are very good to work with. Everyone is willing to help you with any problem or concern.,4,Work/Life Balance,4,Overall,4,Culture & Values,0,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW12464823.htm
